Sample	Chromosome	ReadCount
sample1	chr1	3548
sample1	chr10	2005
sample1	chr11	1495
sample1	chr12	1396
sample1	chr13	782
sample1	chr14	1025
sample1	chr15	1203
sample1	chr16	1247
sample1	chr17	1727
sample1	chr18	670
sample1	chr19	1465
sample1	chr2	2351
sample1	chr20	780
sample1	chr21	479
sample1	chr22	874
sample1	chr3	2015
sample1	chr4	80385
sample1	chr5	1587
sample1	chr6	1785
sample1	chr7	1912
sample1	chr8	1367
sample1	chr9	1389
sample1	chrM	134
sample1	chrX	1783
sample1	chrY	174
sample2	chr1	2442
sample2	chr10	1416
sample2	chr11	874
sample2	chr12	1045
sample2	chr13	553
sample2	chr14	607
sample2	chr15	653
sample2	chr16	909
sample2	chr17	1293
sample2	chr18	342
sample2	chr19	1017
sample2	chr2	1521
sample2	chr20	582
sample2	chr21	327
sample2	chr22	557
sample2	chr3	1322
sample2	chr4	79771
sample2	chr5	1127
sample2	chr6	1299
sample2	chr7	1345
sample2	chr8	874
sample2	chr9	990
sample2	chrM	98
sample2	chrX	1111
sample2	chrY	79
